========================================================================================
   RISOLUZIONE MDP E CAMMINATA OTTIMA (STANDARD): soluzioni/soluzione_std_grid_8.txt
   Dimensioni Griglia: 80x80 | Start: (0,0) | Goal: (79,79)
========================================================================================

--- MATRICE DEI VALORI V* ('#'=Ostacolo) ---
  -57.00   -56.00   -55.00   -54.00   -53.00   -52.00   -51.00   -50.00   -49.00   -48.00   -47.00   -46.00   -45.00   -44.00   -43.00   -42.00   -41.00   -40.00   -39.00   -38.00   -37.00   -36.00   -35.00   -34.00   -33.00   -32.00   -31.00   -30.00   -29.00   -28.00   -27.00   -26.00   -25.00   -24.00   -23.00   -22.00   -21.00   -20.00   -19.00   -18.00   -17.00   -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00 
  -16.00   -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00 
  -15.00   -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00 
  -14.00   -13.00   -12.00   -11.00   -10.00    -9.00    -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00 
  -13.00   -12.00   -11.00   -10.00        #   -10.00    -9.00    -8.00        #    -4.00    -3.00    -2.00        #    -2.00    -1.00     0.00        #     4.00     5.00     6.00        #     6.00     7.00     8.00        #    12.00    13.00    14.00        #    14.00    15.00    16.00        #    20.00    21.00    22.00        #    22.00    23.00    24.00        #    28.00    29.00    30.00        #    30.00    31.00    32.00        #    36.00    37.00    38.00        #    38.00    39.00    40.00        #    44.00    45.00    46.00        #    46.00    47.00    48.00        #    52.00    53.00    54.00        #    54.00    55.00    56.00        #    60.00    61.00    62.00    63.00    64.00    65.00    66.00 
  -12.00   -11.00   -10.00    -9.00        #   -11.00   -10.00    -9.00        #    -3.00    -2.00    -1.00        #    -3.00    -2.00    -1.00        #     5.00     6.00     7.00        #     5.00     6.00     7.00        #    13.00    14.00    15.00        #    13.00    14.00    15.00        #    21.00    22.00    23.00        #    21.00    22.00    23.00        #    29.00    30.00    31.00        #    29.00    30.00    31.00        #    37.00    38.00    39.00        #    37.00    38.00    39.00        #    45.00    46.00    47.00        #    45.00    46.00    47.00        #    53.00    54.00    55.00        #    53.00    54.00    55.00        #    61.00    62.00    63.00    64.00    65.00    66.00    67.00 
  -11.00   -10.00    -9.00    -8.00        #   -12.00   -11.00   -10.00        #    -2.00    -1.00     0.00        #    -4.00    -3.00    -2.00        #     6.00     7.00     8.00        #     4.00     5.00     6.00        #    14.00    15.00    16.00        #    12.00    13.00    14.00        #    22.00    23.00    24.00        #    20.00    21.00    22.00        #    30.00    31.00    32.00        #    28.00    29.00    30.00        #    38.00    39.00    40.00        #    36.00    37.00    38.00        #    46.00    47.00    48.00        #    44.00    45.00    46.00        #    54.00    55.00    56.00        #    52.00    53.00    54.00        #    62.00    63.00    64.00    65.00    66.00    67.00    68.00 
  -10.00    -9.00    -8.00    -7.00        #   -13.00   -12.00   -11.00        #    -1.00     0.00     1.00        #    -5.00    -4.00    -3.00        #     7.00     8.00     9.00        #     3.00     4.00     5.00        #    15.00    16.00    17.00        #    11.00    12.00    13.00        #    23.00    24.00    25.00        #    19.00    20.00    21.00        #    31.00    32.00    33.00        #    27.00    28.00    29.00        #    39.00    40.00    41.00        #    35.00    36.00    37.00        #    47.00    48.00    49.00        #    43.00    44.00    45.00        #    55.00    56.00    57.00        #    51.00    52.00    53.00        #    63.00    64.00    65.00    66.00    67.00    68.00    69.00 
   -9.00    -8.00    -7.00    -6.00        #        #        #        #        #     0.00     1.00     2.00        #        #        #        #        #     8.00     9.00    10.00        #        #        #        #        #    16.00    17.00    18.00        #        #        #        #        #    24.00    25.00    26.00        #        #        #        #        #    32.00    33.00    34.00        #        #        #        #        #    40.00    41.00    42.00        #        #        #        #        #    48.00    49.00    50.00        #        #        #        #        #    56.00    57.00    58.00        #        #        #        #        #    64.00    65.00    66.00    67.00    68.00    69.00    70.00 
   -8.00    -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00 
   -7.00    -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00 
   -6.00    -5.00    -4.00    -3.00    -2.00    -1.00     0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00 
   -5.00    -4.00    -3.00    -2.00        #    -2.00    -1.00     0.00        #     4.00     5.00     6.00        #     6.00     7.00     8.00        #    12.00    13.00    14.00        #    14.00    15.00    16.00        #    20.00    21.00    22.00        #    22.00    23.00    24.00        #    28.00    29.00    30.00        #    30.00    31.00    32.00        #    36.00    37.00    38.00        #    38.00    39.00    40.00        #    44.00    45.00    46.00        #    46.00    47.00    48.00        #    52.00    53.00    54.00        #    54.00    55.00    56.00        #    60.00    61.00    62.00        #    62.00    63.00    64.00        #    68.00    69.00    70.00    71.00    72.00    73.00    74.00 
   -4.00    -3.00    -2.00    -1.00        #    -3.00    -2.00    -1.00        #     5.00     6.00     7.00        #     5.00     6.00     7.00        #    13.00    14.00    15.00        #    13.00    14.00    15.00        #    21.00    22.00    23.00        #    21.00    22.00    23.00        #    29.00    30.00    31.00        #    29.00    30.00    31.00        #    37.00    38.00    39.00        #    37.00    38.00    39.00        #    45.00    46.00    47.00        #    45.00    46.00    47.00        #    53.00    54.00    55.00        #    53.00    54.00    55.00        #    61.00    62.00    63.00        #    61.00    62.00    63.00        #    69.00    70.00    71.00    72.00    73.00    74.00    75.00 
   -3.00    -2.00    -1.00     0.00        #    -4.00    -3.00    -2.00        #     6.00     7.00     8.00        #     4.00     5.00     6.00        #    14.00    15.00    16.00        #    12.00    13.00    14.00        #    22.00    23.00    24.00        #    20.00    21.00    22.00        #    30.00    31.00    32.00        #    28.00    29.00    30.00        #    38.00    39.00    40.00        #    36.00    37.00    38.00        #    46.00    47.00    48.00        #    44.00    45.00    46.00        #    54.00    55.00    56.00        #    52.00    53.00    54.00        #    62.00    63.00    64.00        #    60.00    61.00    62.00        #    70.00    71.00    72.00    73.00    74.00    75.00    76.00 
   -2.00    -1.00     0.00     1.00        #    -5.00    -4.00    -3.00        #     7.00     8.00     9.00        #     3.00     4.00     5.00        #    15.00    16.00    17.00        #    11.00    12.00    13.00        #    23.00    24.00    25.00        #    19.00    20.00    21.00        #    31.00    32.00    33.00        #    27.00    28.00    29.00        #    39.00    40.00    41.00        #    35.00    36.00    37.00        #    47.00    48.00    49.00        #    43.00    44.00    45.00        #    55.00    56.00    57.00        #    51.00    52.00    53.00        #    63.00    64.00    65.00        #    59.00    60.00    61.00        #    71.00    72.00    73.00    74.00    75.00    76.00    77.00 
   -1.00     0.00     1.00     2.00        #        #        #        #        #     8.00     9.00    10.00        #        #        #        #        #    16.00    17.00    18.00        #        #        #        #        #    24.00    25.00    26.00        #        #        #        #        #    32.00    33.00    34.00        #        #        #        #        #    40.00    41.00    42.00        #        #        #        #        #    48.00    49.00    50.00        #        #        #        #        #    56.00    57.00    58.00        #        #        #        #        #    64.00    65.00    66.00        #        #        #        #        #    72.00    73.00    74.00    75.00    76.00    77.00    78.00 
    0.00     1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00 
    1.00     2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00 
    2.00     3.00     4.00     5.00     6.00     7.00     8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00 
    3.00     4.00     5.00     6.00        #     6.00     7.00     8.00        #    12.00    13.00    14.00        #    14.00    15.00    16.00        #    20.00    21.00    22.00        #    22.00    23.00    24.00        #    28.00    29.00    30.00        #    30.00    31.00    32.00        #    36.00    37.00    38.00        #    38.00    39.00    40.00        #    44.00    45.00    46.00        #    46.00    47.00    48.00        #    52.00    53.00    54.00        #    54.00    55.00    56.00        #    60.00    61.00    62.00        #    62.00    63.00    64.00        #    68.00    69.00    70.00        #    70.00    71.00    72.00        #    76.00    77.00    78.00    79.00    80.00    81.00    82.00 
    4.00     5.00     6.00     7.00        #     5.00     6.00     7.00        #    13.00    14.00    15.00        #    13.00    14.00    15.00        #    21.00    22.00    23.00        #    21.00    22.00    23.00        #    29.00    30.00    31.00        #    29.00    30.00    31.00        #    37.00    38.00    39.00        #    37.00    38.00    39.00        #    45.00    46.00    47.00        #    45.00    46.00    47.00        #    53.00    54.00    55.00        #    53.00    54.00    55.00        #    61.00    62.00    63.00        #    61.00    62.00    63.00        #    69.00    70.00    71.00        #    69.00    70.00    71.00        #    77.00    78.00    79.00    80.00    81.00    82.00    83.00 
    5.00     6.00     7.00     8.00        #     4.00     5.00     6.00        #    14.00    15.00    16.00        #    12.00    13.00    14.00        #    22.00    23.00    24.00        #    20.00    21.00    22.00        #    30.00    31.00    32.00        #    28.00    29.00    30.00        #    38.00    39.00    40.00        #    36.00    37.00    38.00        #    46.00    47.00    48.00        #    44.00    45.00    46.00        #    54.00    55.00    56.00        #    52.00    53.00    54.00        #    62.00    63.00    64.00        #    60.00    61.00    62.00        #    70.00    71.00    72.00        #    68.00    69.00    70.00        #    78.00    79.00    80.00    81.00    82.00    83.00    84.00 
    6.00     7.00     8.00     9.00        #     3.00     4.00     5.00        #    15.00    16.00    17.00        #    11.00    12.00    13.00        #    23.00    24.00    25.00        #    19.00    20.00    21.00        #    31.00    32.00    33.00        #    27.00    28.00    29.00        #    39.00    40.00    41.00        #    35.00    36.00    37.00        #    47.00    48.00    49.00        #    43.00    44.00    45.00        #    55.00    56.00    57.00        #    51.00    52.00    53.00        #    63.00    64.00    65.00        #    59.00    60.00    61.00        #    71.00    72.00    73.00        #    67.00    68.00    69.00        #    79.00    80.00    81.00    82.00    83.00    84.00    85.00 
    7.00     8.00     9.00    10.00        #        #        #        #        #    16.00    17.00    18.00        #        #        #        #        #    24.00    25.00    26.00        #        #        #        #        #    32.00    33.00    34.00        #        #        #        #        #    40.00    41.00    42.00        #        #        #        #        #    48.00    49.00    50.00        #        #        #        #        #    56.00    57.00    58.00        #        #        #        #        #    64.00    65.00    66.00        #        #        #        #        #    72.00    73.00    74.00        #        #        #        #        #    80.00    81.00    82.00    83.00    84.00    85.00    86.00 
    8.00     9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00 
    9.00    10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00 
   10.00    11.00    12.00    13.00    14.00    15.00    16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00 
   11.00    12.00    13.00    14.00        #    14.00    15.00    16.00        #    20.00    21.00    22.00        #    22.00    23.00    24.00        #    28.00    29.00    30.00        #    30.00    31.00    32.00        #    36.00    37.00    38.00        #    38.00    39.00    40.00        #    44.00    45.00    46.00        #    46.00    47.00    48.00        #    52.00    53.00    54.00        #    54.00    55.00    56.00        #    60.00    61.00    62.00        #    62.00    63.00    64.00        #    68.00    69.00    70.00        #    70.00    71.00    72.00        #    76.00    77.00    78.00        #    78.00    79.00    80.00        #    84.00    85.00    86.00    87.00    88.00    89.00    90.00 
   12.00    13.00    14.00    15.00        #    13.00    14.00    15.00        #    21.00    22.00    23.00        #    21.00    22.00    23.00        #    29.00    30.00    31.00        #    29.00    30.00    31.00        #    37.00    38.00    39.00        #    37.00    38.00    39.00        #    45.00    46.00    47.00        #    45.00    46.00    47.00        #    53.00    54.00    55.00        #    53.00    54.00    55.00        #    61.00    62.00    63.00        #    61.00    62.00    63.00        #    69.00    70.00    71.00        #    69.00    70.00    71.00        #    77.00    78.00    79.00        #    77.00    78.00    79.00        #    85.00    86.00    87.00    88.00    89.00    90.00    91.00 
   13.00    14.00    15.00    16.00        #    12.00    13.00    14.00        #    22.00    23.00    24.00        #    20.00    21.00    22.00        #    30.00    31.00    32.00        #    28.00    29.00    30.00        #    38.00    39.00    40.00        #    36.00    37.00    38.00        #    46.00    47.00    48.00        #    44.00    45.00    46.00        #    54.00    55.00    56.00        #    52.00    53.00    54.00        #    62.00    63.00    64.00        #    60.00    61.00    62.00        #    70.00    71.00    72.00        #    68.00    69.00    70.00        #    78.00    79.00    80.00        #    76.00    77.00    78.00        #    86.00    87.00    88.00    89.00    90.00    91.00    92.00 
   14.00    15.00    16.00    17.00        #    11.00    12.00    13.00        #    23.00    24.00    25.00        #    19.00    20.00    21.00        #    31.00    32.00    33.00        #    27.00    28.00    29.00        #    39.00    40.00    41.00        #    35.00    36.00    37.00        #    47.00    48.00    49.00        #    43.00    44.00    45.00        #    55.00    56.00    57.00        #    51.00    52.00    53.00        #    63.00    64.00    65.00        #    59.00    60.00    61.00        #    71.00    72.00    73.00        #    67.00    68.00    69.00        #    79.00    80.00    81.00        #    75.00    76.00    77.00        #    87.00    88.00    89.00    90.00    91.00    92.00    93.00 
   15.00    16.00    17.00    18.00        #        #        #        #        #    24.00    25.00    26.00        #        #        #        #        #    32.00    33.00    34.00        #        #        #        #        #    40.00    41.00    42.00        #        #        #        #        #    48.00    49.00    50.00        #        #        #        #        #    56.00    57.00    58.00        #        #        #        #        #    64.00    65.00    66.00        #        #        #        #        #    72.00    73.00    74.00        #        #        #        #        #    80.00    81.00    82.00        #        #        #        #        #    88.00    89.00    90.00    91.00    92.00    93.00    94.00 
   16.00    17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00 
   17.00    18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00 
   18.00    19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00    97.00 
   19.00    20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00    97.00    98.00 
   20.00    21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00    97.00    98.00    99.00 
   21.00    22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00    97.00    98.00    99.00   100.00 
   22.00    23.00    24.00    25.00    26.00    27.00    28.00    29.00    30.00    31.00    32.00    33.00    34.00    35.00    36.00    37.00    38.00    39.00    40.00    41.00    42.00    43.00    44.00    45.00    46.00    47.00    48.00    49.00    50.00    51.00    52.00    53.00    54.00    55.00    56.00    57.00    58.00    59.00    60.00    61.00    62.00    63.00    64.00    65.00    66.00    67.00    68.00    69.00    70.00    71.00    72.00    73.00    74.00    75.00    76.00    77.00    78.00    79.00    80.00    81.00    82.00    83.00    84.00    85.00    86.00    87.00    88.00    89.00    90.00    91.00    92.00    93.00    94.00    95.00    96.00    97.00    98.00    99.00   100.00     0.00 

--- POLITICA OTTIMA pi* ('#'=Ostacolo, 'G'=Goal) ---
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v    v  
  v    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    >    >    >    >    >    v    v    v    v    v    v    v  
  v    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    v    v    v    v  
  v    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    v    v    v    v  
  v    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    v    v    v    v  
  v    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    #    ^    ^    ^    #    v    v    v    v    v    v    v  
  v    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    #    #    #    #    #    v    v    v    v    v    v    v  
